00001D0000100000000000000002025072411000001Admin Deposit                 000010000000320250724112126
00002W0000120250724110000010000000000000000WithDraw                      000001000000220250724112625
00002S0000220250724110000022025072411000001Transfer                      000001000000420250724113206
00003S0000120250724110000012025072411000002Transfer                      000000500000420250724143048
00004D0000100000000000000002025072411000001Admin Deposit                 000010000000320250725154425
00005W0000120250724110000010000000000000000WithDraw                      000001000000220250725155313
00006S0000120250724110000012025072411000002Transfer                      000000500000420250725155336
00004S0000320250728080000032025072411000001Transfer                      000000500000420250728084446
00007D0000100000000000000002025072411000001Admin Deposit                 000010000000320250728110745
00008W0000120250724110000010000000000000000WithDraw                      000001000000220250728111832
00009W0000120250724110000010000000000000000WithDraw                      000001000050220250728111848
00010S0000120250724110000012025072411000002Transfer                      000000100000420250728111947
00011R0000100000000000000002025072411000001Interest                      000000131999420250728113759
